Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.35,-.51,-.22,-.30,-.06,-.16,-.18,-.26,-.22,-.31,-.42,-.39,-.28,***,***,-.19,-.20,-.32
1881,-.30,-.22,-.03,.00,.03,-.34,.08,-.05,-.27,-.44,-.37,-.24,-.18,-.19,-.30,.00,-.10,-.36
1882,.26,.21,.01,-.32,-.25,-.31,-.28,-.15,-.24,-.52,-.32,-.67,-.22,-.18,.08,-.19,-.25,-.36
1883,-.57,-.66,-.15,-.29,-.24,-.13,-.04,-.22,-.32,-.15,-.42,-.14,-.28,-.32,-.64,-.23,-.13,-.29
1884,-.16,-.09,-.62,-.59,-.36,-.43,-.39,-.49,-.45,-.44,-.57,-.47,-.42,-.39,-.13,-.52,-.44,-.49
1885,-1.00,-.45,-.24,-.49,-.58,-.45,-.34,-.41,-.39,-.36,-.38,-.11,-.43,-.46,-.64,-.44,-.40,-.38
1886,-.74,-.84,-.71,-.36,-.33,-.37,-.14,-.42,-.32,-.31,-.40,-.20,-.43,-.42,-.56,-.47,-.31,-.34
1887,-1.07,-.70,-.44,-.38,-.26,-.21,-.24,-.55,-.21,-.48,-.27,-.42,-.43,-.42,-.66,-.36,-.33,-.32
1888,-.48,-.61,-.64,-.21,-.14,-.02,.00,-.21,-.19,-.03,.00,-.23,-.23,-.25,-.50,-.33,-.08,-.07
1889,-.28,.29,-.02,.17,-.03,-.07,-.07,-.20,-.30,-.41,-.62,-.54,-.17,-.15,-.07,.04,-.11,-.44
1890,-.63,-.57,-.47,-.25,-.35,-.15,-.23,-.39,-.34,-.09,-.62,-.47,-.38,-.39,-.58,-.36,-.26,-.35
1891,-.46,-.67,-.16,-.35,-.15,-.12,-.12,-.12,-.07,-.28,-.52,-.03,-.25,-.29,-.53,-.22,-.12,-.29
1892,-.50,-.17,-.67,-.45,-.23,-.05,-.37,-.32,-.20,-.27,-.82,-.66,-.39,-.34,-.23,-.45,-.25,-.43
1893,-1.50,-.95,-.31,-.29,-.42,-.16,-.13,-.33,-.28,-.27,-.33,-.60,-.46,-.47,-1.04,-.34,-.21,-.29
1894,-.91,-.41,-.21,-.53,-.25,-.40,-.19,-.26,-.32,-.27,-.47,-.34,-.38,-.40,-.64,-.33,-.28,-.35
1895,-.69,-.80,-.49,-.18,-.29,-.20,-.18,-.27,-.06,-.08,-.12,-.22,-.30,-.31,-.61,-.32,-.22,-.09
1896,-.35,-.17,-.48,-.59,-.16,.08,.00,-.10,-.12,.05,-.20,-.20,-.19,-.19,-.25,-.41,-.01,-.09
1897,-.37,-.40,-.38,-.04,.14,-.05,.05,-.06,-.06,-.15,-.26,-.29,-.16,-.15,-.33,-.09,-.02,-.16
1898,.05,-.44,-.78,-.26,-.27,-.08,-.12,-.17,-.17,-.36,-.49,-.27,-.28,-.28,-.23,-.44,-.12,-.34
1899,-.12,-.63,-.59,-.22,-.24,-.35,-.15,-.05,-.03,.06,.35,-.45,-.20,-.19,-.34,-.35,-.18,.13
1900,-.61,-.14,.06,-.10,-.04,-.10,-.11,-.08,-.02,.23,-.12,-.03,-.09,-.12,-.40,-.02,-.09,.03
1901,-.35,-.09,.27,.10,-.12,.01,.02,-.15,-.27,-.32,-.19,-.40,-.12,-.09,-.15,.09,-.04,-.26
1902,-.13,-.03,-.37,-.35,-.38,-.41,-.33,-.28,-.32,-.32,-.46,-.60,-.33,-.32,-.19,-.37,-.34,-.37
1903,-.22,.11,-.16,-.46,-.43,-.45,-.41,-.55,-.48,-.45,-.40,-.56,-.37,-.37,-.24,-.35,-.47,-.44
1904,-.74,-.61,-.45,-.50,-.43,-.48,-.58,-.53,-.63,-.38,-.08,-.33,-.48,-.50,-.64,-.46,-.53,-.36
1905,-.40,-.81,-.22,-.43,-.27,-.26,-.21,-.23,-.18,-.24,.11,-.16,-.28,-.29,-.51,-.31,-.23,-.10
1906,-.55,-.54,-.19,.05,-.24,-.10,-.27,-.17,-.23,-.17,-.39,.04,-.23,-.25,-.41,-.13,-.18,-.26
1907,-.57,-.72,-.31,-.45,-.57,-.50,-.39,-.38,-.39,-.19,-.55,-.58,-.47,-.42,-.42,-.44,-.42,-.38
1908,-.53,-.27,-.70,-.46,-.28,-.28,-.34,-.56,-.29,-.44,-.62,-.54,-.44,-.45,-.46,-.48,-.39,-.45
1909,-.92,-.45,-.65,-.65,-.49,-.52,-.44,-.36,-.36,-.33,-.11,-.56,-.49,-.48,-.64,-.60,-.44,-.27
1910,-.36,-.38,-.48,-.41,-.29,-.44,-.37,-.38,-.42,-.31,-.61,-.81,-.44,-.42,-.43,-.39,-.40,-.44
