Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.00,.04,.06,-.01,-.12,-.24,-.16,.07,-.04,-.14,.00,.06,-.04,***,***,-.02,-.11,-.06
1881,-.08,-.06,.10,.10,.09,-.05,-.07,-.02,-.03,.00,.00,.10,.01,.00,-.03,.10,-.05,-.01
1882,.07,.08,.07,-.01,-.04,-.15,-.04,.01,-.04,.04,-.01,-.07,-.01,.01,.08,.01,-.06,.00
1883,-.02,-.08,-.08,-.07,-.10,-.02,-.08,-.05,-.10,-.05,-.04,-.05,-.06,-.06,-.05,-.08,-.05,-.06
1884,-.08,-.05,-.09,-.21,-.31,-.29,-.21,-.06,-.10,-.06,-.10,-.15,-.14,-.13,-.06,-.20,-.19,-.09
1885,-.19,-.22,-.29,-.35,-.32,-.42,-.33,-.22,-.18,-.12,-.11,-.09,-.24,-.24,-.19,-.32,-.32,-.14
1886,-.14,-.19,-.16,-.19,-.15,-.31,-.21,-.19,-.14,-.23,-.15,-.28,-.19,-.18,-.14,-.17,-.23,-.17
1887,-.36,-.43,-.27,-.30,-.35,-.27,-.26,-.16,-.29,-.22,-.24,-.23,-.28,-.29,-.36,-.31,-.23,-.25
1888,-.20,-.12,-.21,-.19,-.29,-.31,-.20,-.10,-.04,.07,.07,.15,-.11,-.15,-.18,-.23,-.20,.03
1889,.08,.04,.13,.03,.02,-.13,-.06,-.20,-.16,-.09,-.06,-.03,-.04,-.02,.09,.06,-.13,-.10
1890,-.20,-.32,-.33,-.34,-.43,-.32,-.32,-.39,-.37,-.39,-.25,-.16,-.32,-.31,-.19,-.37,-.34,-.34
1891,-.21,-.25,-.20,-.19,-.17,-.28,-.23,-.22,-.23,-.15,-.10,-.05,-.19,-.20,-.21,-.18,-.24,-.16
1892,-.09,-.06,-.13,-.21,-.23,-.38,-.25,-.21,-.12,.00,-.03,-.11,-.15,-.15,-.06,-.19,-.28,-.05
1893,-.12,-.17,-.11,-.24,-.24,-.32,-.14,-.17,-.16,-.08,-.03,-.02,-.15,-.16,-.14,-.20,-.21,-.09
1894,-.14,-.15,-.23,-.35,-.34,-.39,-.26,-.20,-.22,-.17,-.03,-.06,-.21,-.21,-.10,-.31,-.29,-.14
1895,-.12,-.05,-.16,-.24,-.24,-.21,-.14,-.06,-.17,-.11,-.20,-.05,-.15,-.15,-.08,-.21,-.13,-.16
1896,-.08,-.07,-.03,-.01,-.15,-.29,-.04,.01,-.01,.09,.12,.12,-.03,-.04,-.07,-.06,-.11,.07
1897,.09,.07,.12,.01,-.16,-.16,-.07,-.11,-.09,-.09,-.10,-.12,-.05,-.03,.10,-.01,-.11,-.09
1898,-.09,-.15,-.23,-.33,-.33,-.30,-.32,-.36,-.25,-.31,-.26,-.20,-.26,-.25,-.12,-.30,-.33,-.27
1899,-.19,-.12,-.13,-.17,-.22,-.26,-.15,-.11,-.04,-.11,-.09,-.06,-.14,-.15,-.17,-.17,-.17,-.08
1900,-.10,.03,-.04,-.07,-.13,-.08,-.12,-.08,-.06,-.01,.01,-.09,-.06,-.06,-.04,-.08,-.09,-.02
1901,-.10,-.12,-.14,-.14,-.18,-.24,-.28,-.24,-.16,-.25,-.12,-.13,-.17,-.17,-.10,-.15,-.25,-.18
1902,-.18,-.14,-.16,-.17,-.24,-.22,-.21,-.30,-.22,-.26,-.25,-.22,-.21,-.21,-.15,-.19,-.24,-.24
1903,-.24,-.22,-.29,-.35,-.36,-.39,-.27,-.35,-.49,-.47,-.43,-.46,-.36,-.34,-.23,-.33,-.33,-.47
1904,-.50,-.55,-.55,-.50,-.59,-.48,-.41,-.42,-.46,-.37,-.24,-.30,-.45,-.46,-.50,-.55,-.44,-.36
1905,-.26,-.34,-.19,-.20,-.27,-.26,-.29,-.16,-.16,-.20,-.20,-.06,-.22,-.24,-.30,-.22,-.24,-.18
1906,.03,-.03,-.15,-.13,-.26,-.26,-.17,-.22,-.31,-.22,-.34,-.32,-.20,-.18,-.02,-.18,-.22,-.29
1907,-.26,-.28,-.23,-.28,-.33,-.31,-.28,-.28,-.27,-.24,-.35,-.34,-.29,-.29,-.29,-.28,-.29,-.29
1908,-.33,-.37,-.39,-.40,-.45,-.46,-.34,-.34,-.39,-.42,-.40,-.42,-.39,-.39,-.35,-.41,-.38,-.40
1909,-.50,-.45,-.40,-.51,-.58,-.50,-.44,-.31,-.39,-.44,-.52,-.54,-.47,-.46,-.46,-.50,-.42,-.45
1910,-.49,-.44,-.52,-.43,-.38,-.31,-.29,-.32,-.33,-.49,-.52,-.52,-.42,-.42,-.49,-.44,-.31,-.45
1911,-.53,-.56,-.57,-.61,-.58,-.66,-.45,-.44,-.42,-.33,-.21,-.11,-.45,-.49,-.53,-.58,-.51,-.32
1912,-.16,-.13,-.15,-.18,-.28,-.32,-.30,-.30,-.33,-.29,-.25,-.28,-.25,-.23,-.13,-.20,-.31,-.29
1913,-.23,-.23,-.37,-.27,-.31,-.39,-.19,-.20,-.25,-.23,-.23,-.13,-.25,-.26,-.25,-.32,-.26,-.23
1914,-.07,-.08,-.10,-.18,-.22,-.27,-.11,-.04,-.01,-.03,-.06,.00,-.10,-.11,-.09,-.17,-.14,-.04
1915,-.12,.03,.06,.07,-.09,-.28,-.12,-.27,-.18,-.20,-.22,-.17,-.12,-.11,-.03,.01,-.22,-.20
1916,-.15,-.12,-.16,-.26,-.32,-.47,-.40,-.20,-.23,-.32,-.47,-.50,-.30,-.27,-.14,-.25,-.35,-.34
1917,-.63,-.58,-.53,-.45,-.37,-.38,-.18,-.06,-.14,-.26,-.35,-.28,-.35,-.37,-.57,-.45,-.20,-.25
1918,-.26,-.23,-.24,-.29,-.36,-.27,-.27,-.25,-.07,-.05,.02,.00,-.19,-.21,-.26,-.30,-.27,-.03
